,CAF-62T_TPM,CAF-97T_TPM,CAF_73T_TPM,CAF_98T_TPM
729,0,0.083202,0.115305,0
730,1.434334,0.521124,0.100781,0.244231
731,0,0,0,0
732,0,0,0,0
733,0.681576,0.258548,1.015554,0.338989
734,26.251691,16.248822,45.030748,30.98736
735,0.260704,0.247639,0.609985,0.09957
738,25.771519,52.161152,29.828106,44.208675
740,43.133823,67.838682,62.414419,62.744538
741,5.214097,14.724438,14.409766,12.490699
744,0,0,0,0
745,0.248574,1.564247,2.443225,19.076414
746,166.106705,102.556694,93.206825,130.812759
747,0.993582,4.701479,1.807195,3.503829
750,0,0,0,0
752,0.102211,1.699895,0.282945,0.599334
753,0.055152,0.194497,0.573872,0.798975
754,446.171791,433.252908,449.591798,410.058013
755,8.481858,18.041932,12.471355,15.323038
757,38.663225,37.632476,18.09532,28.514962
758,0,0,0,0
759,0,0,0,0
760,0,0.215181,0.129807,0
761,0.080247,0,0,0.088227
762,0,0.00162,0,0.005273
763,0,0,0,0
764,0,0,0,0
765,0,0,0,0
766,0,0.05307,0,0
767,0,0,0,0
768,0,0.630714,0.071407,0.118602
770,21.473863,14.64753,5.647706,5.164641
771,16.140413,13.588567,7.825939,30.190365
773,1.075368,1.304874,0.148308,0.612004
774,0,0.008227,0,0.013216
775,6.219737,11.753198,6.821882,6.344652
776,0.080494,0,0,0
777,0,0,0.012686,0
778,0,0,0,0
779,0,0,0,0
780,11.798603,60.142027,44.999791,42.016888
781,29.016103,18.300219,24.399661,21.40346
782,6.657373,9.551426,9.475668,10.795468
783,0.099088,0.224639,0.251106,0.09654
784,21.964786,34.078049,30.386122,21.037105
785,4.442601,2.711535,1.68571,2.058314
786,0,0,0,0
788,15.143492,31.148096,23.434566,15.506186
789,0,0,0,0
790,7.26616,16.34524,13.669512,21.818843
793,0,0,0,0
794,0.589675,5.062566,5.019606,7.024963
795,0,0,0,0
796,0,0,0,0.242944
797,0,0,0,0
799,0,0,0.017265,0
800,1406.931275,2374.782986,1269.349696,1253.051961
801,192.23734,178.056159,177.894101,222.714407
802,0,0,0,0
804,0,0,0,0
805,1401.891946,1013.656747,1260.16748,1151.97213
806,0.331165,0.129288,0.083381,0.190385
807,0.338091,0,0.013387,0.030173
808,123.376732,253.550108,156.089631,199.429058
810,0,0,0,0
811,504.36087,1057.646362,1010.508057,728.09552
813,707.877662,656.688024,902.762347,759.175696
814,1.423627,0.835454,0.835421,0.673076
815,2.412007,1.202226,0.12726,0.220593
816,0.04941,0.271229,0.691854,0.423962
817,89.867624,56.644068,42.981043,55.715258
818,19.062338,33.224996,35.546578,32.563061
819,79.269257,45.088249,51.081543,49.963169
820,0,0,0,0
821,433.650664,338.889002,452.398859,359.08458
822,3.476107,2.42072,4.838658,15.990975
823,39.283657,145.423529,111.799463,128.999953
824,256.281026,333.199948,357.525704,320.22887
825,13.456893,5.749055,4.593494,4.068811
826,358.199362,610.848806,585.583,620.755599
827,0,0,0,0.105569
828,5.429013,5.153369,3.183938,5.509338
829,220.950577,181.090247,163.749504,193.020167
830,72.651863,48.435295,52.683281,56.082294
831,158.524648,117.380903,111.379571,128.782413
832,156.768573,290.247935,292.210398,302.72048
833,58.558374,60.598825,109.195668,89.346391
834,51.023185,28.718989,28.284058,36.226062
835,6.573136,14.030729,8.727672,13.570311
836,57.989113,42.792711,59.051356,53.488073
