,CAF-62T-IgA_TPM,CAF-97T-IgA_TPM,CAF_73T_IgA_TPM,CAF_98T_IgA_TPM
100101405,0,0,0,0
100101407,0,0,0,0
100101440,5.968825,4.832279,5.101706,5.285205
100101467,11.708778,13.406099,10.260498,14.128117
100101478,1.11394,2.38548,1.056026,2.060315
100101483,0,0,0,0
100101490,5.110312,5.970954,7.130345,9.763631
100101554,0,0,0,0
100101917,0.435024,0.12445,0,0.243496
100101932,0,0,0,0
100101933,0,0,0,0
100101935,0,0,0,0
100101938,0,0,0,0
100113373,0.597656,0.931633,0.343386,0.986273
100113374,0,0,0,0
100113375,0,0,0,0
100113378,0,0.46977,0,0
100113379,0,0,0.147732,0
100113380,0.438262,2.993229,0.641838,0.645123
100113381,6.864662,6.578666,3.091865,5.993398
100113382,0,0,0,0
100113384,10.738617,3.170101,0.57288,4.104129
100113386,0.033742,0.026595,0.002675,0.11359
100113389,0.702728,0.071126,0.613761,0.14704
100113391,0,0,0,0
100113392,0.08493,0.3599,0,0
100113393,4.628218,1.666134,0,3.969671
100113402,0,0,0,0
100113403,0,0,0,0
100113404,0,0,0,0
100113407,1.123853,0.292085,0.386117,1.33844
100113421,0.587966,0.058976,0.051001,0.29185
100114903,0,0,0,0
100118954,0,0,0,0
100124332,0,0,0.105989,0
100124334,0,0,0,0
100124394,0,0,0,0
100124402,0,0,0,0
100124412,0,0,0.041392,0
100124516,10.873964,3.35685,2.435613,7.36932
100124533,3.420437,1.286028,0,1.617526
100124534,0,0,0.007872,0.395297
100124535,0,0,0,0
100124536,0.335365,0,0,0.517056
100124537,0,0,0,0
100124538,0,0,0,0
100124539,0,0,0,0.507556
100124540,0,0,0,0
100124541,0.314,0.161839,0,0.067176
100124700,0,0,0,0
100125288,1.549517,1.04249,1.452334,0.901975
100125387,0.007526,0.0621,0.007682,0.048394
100125393,0,0,0,0
100125409,0.056761,0,0,0
100125556,1.287797,1.717115,0.40338,2.805218
100126007,0,0,0,0
100126008,0,0,0,0
100126270,0,0,0.031602,0
100126296,0,0,0,0
100126297,0,0,0,0.18418
100126299,0,0,0,0
100126301,0,0,0,0
100126302,0.405343,0,0,0
100126303,0,0,0,0
100126304,0,0,0,0
100126306,0,0,0,0
100126307,0,0,0,0
100126308,0,0,0,0
100126309,0,0,0,0
100126310,0,0,0,0
100126311,0.009731,0,0.010477,0.012575
100126313,0,0,0.274795,0
100126314,0.766542,0.763554,0,0.682658
100126315,0,0,0,0.210463
100126316,0,0,0,0
100126317,0.941842,0.583568,1.602665,3.816
100126318,0,0,0,0
100126319,0,0,0,0
100126320,0,0,0,0
100126321,0.004351,0.009384,0.004881,0.022461
100126323,0,0,0,0
100126324,0,0,0,0
100126325,0.000854,0.001774,0.000007,0.000905
100126326,0,0,0,0
100126327,0,0,0,0
100126328,0.059014,0.065312,0.163696,0.02073
100126329,0,0.039118,0.181808,0.000009
100126330,0,0.000022,0,0
100126331,0,0,0,0.103463
100126332,0.035485,0.340868,0.000298,0.167796
100126333,0,0,0,0
100126334,0,0,0,0
